sensor_name,min_valid,max_valid,normal_min,normal_max
throttle_position,0.0,100.0,0.0,100.0
brake_position,0.0,100.0,0.0,100.0
steering_wheel_angle,-180.0,180.0,-180.0,180.0
steering_torque,-25.0,25.0,-25.0,25.0
gear_position,0.0,8.0,0.0,8.0
toe_angle,-3.0,3.0,-3.0,3.0
rpm,800.0,15000.0,1000.0,13500.0
driveshaft_rpm,800.0,15000.0,1000.0,13500.0
speed,0.0,360.0,0.0,340.0
brake_pressure,0.0,120.0,0.0,110.0
engine_oil_pressure,1.5,7.0,2.0,6.5
manifold_air_pressure,0.5,3.5,0.6,3.2
boost_pressure,0.5,3.5,0.6,3.2
fuel_pressure,3.0,6.0,3.2,5.8
engine_oil_temperature,70.0,130.0,80.0,120.0
manifold_air_temperature,20.0,70.0,25.0,65.0
exhaust_gas_temperature,400.0,1050.0,450.0,950.0
coolant_temperature,70.0,110.0,75.0,105.0
transmission_fluid_temperature,80.0,140.0,85.0,130.0
cam_position,0.0,360.0,0.0,360.0
crank_position,0.0,360.0,0.0,360.0
knock_sensor,0.0,5.0,0.0,3.0
lambda_sensor,0.70,1.10,0.85,1.05
wastegate_position,0.0,100.0,0.0,100.0
fuel_flow,0.0,100.0,0.0,100.0
fuel_level,0.0,110.0,0.0,110.0
battery_voltage,11.5,14.8,12.0,14.5
battery_temperature,20.0,60.0,25.0,55.0
alternator_output,0.0,150.0,0.0,150.0
g_force_longitude,-5.0,2.0,-5.0,2.0
g_force_latitude,-4.0,4.0,-4.0,4.0
g_force_lateral,-4.0,4.0,-4.0,4.0
latitude,-90.0,90.0,-90.0,90.0
longitude,-180.0,180.0,-180.0,180.0
fl_wheel_speed,0.0,370.0,0.0,370.0
fr_wheel_speed,0.0,370.0,0.0,370.0
rl_wheel_speed,0.0,370.0,0.0,370.0
rr_wheel_speed,0.0,370.0,0.0,370.0
fl_wheel_load,100.0,1500.0,150.0,1400.0
fr_wheel_load,100.0,1500.0,150.0,1400.0
rl_wheel_load,100.0,1500.0,150.0,1400.0
rr_wheel_load,100.0,1500.0,150.0,1400.0
fl_shock_travel,0.0,75.0,0.0,75.0
fr_shock_travel,0.0,75.0,0.0,75.0
rl_shock_travel,0.0,75.0,0.0,75.0
rr_shock_travel,0.0,75.0,0.0,75.0
fl_ride_height,15.0,80.0,15.0,80.0
fr_ride_height,15.0,80.0,15.0,80.0
rl_ride_height,15.0,80.0,15.0,80.0
rr_ride_height,15.0,80.0,15.0,80.0
fl_tire_pressure,1.2,2.5,1.4,2.3
fr_tire_pressure,1.2,2.5,1.4,2.3
rl_tire_pressure,1.2,2.5,1.4,2.3
rr_tire_pressure,1.2,2.5,1.4,2.3
fl_tire_temperature,60.0,120.0,70.0,110.0
fr_tire_temperature,60.0,120.0,70.0,110.0
rl_tire_temperature,60.0,120.0,70.0,110.0
rr_tire_temperature,60.0,120.0,70.0,110.0
fl_brake_temperature,200.0,1000.0,250.0,900.0
fr_brake_temperature,200.0,1000.0,250.0,900.0
rl_brake_temperature,200.0,1000.0,250.0,900.0
rr_brake_temperature,200.0,1000.0,250.0,900.0
pitot_tube,0.0,150.0,0.0,150.0
pressure_tap_front_wing,-50.0,100.0,-50.0,100.0
pressure_tap_rear_wing,-50.0,100.0,-50.0,100.0
pressure_tap_diffuser,-50.0,100.0,-50.0,100.0
pressure_tap_splitter,-50.0,100.0,-50.0,100.0
kiel_probe_front_wing,-50.0,100.0,-50.0,100.0
kiel_probe_rear_wing,-50.0,100.0,-50.0,100.0
kiel_probe_diffuser,-50.0,100.0,-50.0,100.0
strain_rollcage,-2000.0,2000.0,-1800.0,1800.0
strain_subframe,-2000.0,2000.0,-1800.0,1800.0
strain_fl_suspension,-2000.0,2000.0,-1800.0,1800.0
strain_fr_suspension,-2000.0,2000.0,-1800.0,1800.0
strain_rl_suspension,-2000.0,2000.0,-1800.0,1800.0
strain_rr_suspension,-2000.0,2000.0,-1800.0,1800.0
driver_heart_rate,80.0,190.0,90.0,175.0
driver_blood_oxygen,90.0,100.0,94.0,100.0
driver_core_body_temperature,36.5,39.5,36.8,38.5
driver_respiratory_rate,15.0,50.0,16.0,45.0
